id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,days_since_last_review
8.65855E+17,Charming Sandy Hill 2 beds Apartment w/ Parking,392408807,Shabella,,Rideau-Vanier,45.42555,-75.68046,Entire home/apt,129.0,2.0,112,2025-02-23,5.8,2.0,93.0,58,Licensed,176.0
8.65991E+17,Private Luxury Bachelor Flat,457117783,Cam,,Capital,45.37985,-75.6756,Entire home/apt,96.0,30.0,25,2024-06-24,1.14,2.0,0.0,2,Licensed,420.0
8.66093E+17,KING SIZE BED & double bed - Lion's Room,160373253,Fiodor,,Gloucester-Southgate,45.378477,-75.640406,Private room,100.0,1.0,157,2025-01-09,6.77,4.0,0.0,62,Licensed,221.0
8.6615E+17,Bright basement,487109183,Eskedar,,River,45.37033,-75.65986,Entire home/apt,100.0,30.0,31,2025-02-01,1.37,2.0,18.0,1,Licensed,198.0
8.66658E+17,Modern 2BR Apt Near Downtown Ottawa FREE Parking,369086465,Fadhl,,Rideau-Vanier,45.43372,-75.66104,Entire home/apt,159.0,30.0,113,2025-01-06,4.91,3.0,261.0,40,Licensed,224.0
8.66792E+17,Entire home in Kanata North,508223971,Jane,,Kanata North,45.35931,-75.92427,Entire home/apt,175.0,60.0,10,2024-12-14,0.46,1.0,322.0,3,Licensed,247.0
8.68342E+17,Cozy House with Balcony in great Location!,144893923,Ahmed,,Barrhaven,45.247351,-75.7338849,Entire home/apt,137.0,30.0,5,2025-01-22,0.26,10.0,316.0,3,Licensed,208.0
8.69029E+17,"A1 (shared condo) double bed, desk+tv",247432884,Andy,,River,45.36897,-75.70367,Private room,38.0,30.0,38,2025-03-01,1.64,2.0,1.0,6,Licensed,170.0
8.69284E+17,Ottawa Downtown Skylight Room #5,138778788,John,,Somerset,45.41468,-75.69859,Private room,66.0,28.0,97,2024-12-05,4.26,5.0,40.0,19,Licensed,256.0
8.69517E+17,Spacious & Sunny 2 bedrooms,245105082,Linda,,Kitchissippi,45.40888,-75.73378,Entire home/apt,100.0,30.0,0,,,1.0,364.0,0,Licensed,
8.69558E+17,Luxury Townhome- Rooftop Terrace,55108009,Todd,,Rideau-Rockcliffe,45.45314,-75.63003,Entire home/apt,180.0,3.0,27,2025-02-23,2.83,3.0,278.0,27,Licensed,176.0
8.70522E+17,Ottawa Beautiful & Cozy Downtown Room #2,138778788,John,,Somerset,45.41492,-75.69911,Private room,127.0,1.0,123,2024-10-05,5.36,5.0,0.0,27,Licensed,317.0
8.71613E+17,Red Brick Hideaway: 1 bedroom suite in Centretown,45410077,Scott,,Somerset,45.40719,-75.70155,Entire home/apt,124.0,30.0,11,2025-02-28,0.62,1.0,0.0,6,Licensed,171.0
8.7184E+17,"Private suite in Walkley, Ottawa",492844694,Moyinoluwa,,Alta Vista,45.39486306,-75.6162062,Entire home/apt,82.0,30.0,3,2024-07-23,0.16,1.0,69.0,1,Licensed,391.0
8.72023E+17,Spacious master bedroom en-suite bathroom+hotop#1,325824177,Bader,,Gloucester-South Nepean,45.31069,-75.59242,Private room,50.0,30.0,1,2023-05-31,0.05,9.0,192.0,0,Licensed,810.0
8.72041E+17,Spacious Master Bedroom en-suite bathroom #2,325824177,Bader,,Gloucester-South Nepean,45.31042,-75.59383,Private room,73.0,30.0,2,2023-08-31,0.09,9.0,1.0,0,Licensed,718.0
8.72046E+17,Spacious Master Bedroom en-suite bathroom #3,325824177,Bader,,Gloucester-South Nepean,45.31078,-75.59318,Private room,40.0,30.0,5,2024-06-08,0.24,9.0,258.0,1,Licensed,436.0
8.72051E+17,Spacious  Bedroom #4 in brand new home,325824177,Bader,,Gloucester-South Nepean,45.30981,-75.5936,Private room,55.0,30.0,3,2024-11-04,0.14,9.0,279.0,1,Licensed,287.0
